Datetime,Open,High,Low,Close,Volume
2025-11-24 16:59:00+00:00,274.87,275.03,274.84,275.01,56101
2025-11-24 17:00:00+00:00,275.01,275.2,275.01,275.035,65253
2025-11-24 17:01:00+00:00,275.01,275.115,274.95,274.9699,42092
2025-11-24 17:02:00+00:00,274.97,274.98,274.84,274.85,76002
2025-11-24 17:03:00+00:00,274.86,274.87,274.73,274.85,64253
2025-11-24 17:04:00+00:00,274.84,274.9234,274.815,274.82,63627
2025-11-24 17:05:00+00:00,274.84,275.0,274.81,274.97,262606
2025-11-24 17:06:00+00:00,274.98,275.01,274.92,274.95,40401
2025-11-24 17:07:00+00:00,274.96,275.03,274.87,274.94,55799
2025-11-24 17:08:00+00:00,274.94,274.94,274.77,274.86,40215
2025-11-24 17:09:00+00:00,274.86,274.87,274.74,274.74,43044
2025-11-24 17:10:00+00:00,274.73,274.88,274.71,274.83,123269
2025-11-24 17:11:00+00:00,274.81,274.94,274.79,274.935,54238
2025-11-24 17:12:00+00:00,274.9321,274.95,274.88,274.8876,30906
2025-11-24 17:13:00+00:00,274.89,274.91,274.84,274.85,60467
2025-11-24 17:14:00+00:00,274.84,274.875,274.75,274.85,45501
2025-11-24 17:15:00+00:00,274.84,274.92,274.82,274.9,56151
2025-11-24 17:16:00+00:00,274.91,275.02,274.8901,274.99,143424
2025-11-24 17:17:00+00:00,274.99,274.995,274.88,274.97,51068
2025-11-24 17:18:00+00:00,274.96,275.01,274.91,274.94,41422
2025-11-24 17:19:00+00:00,274.95,275.1,274.95,275.02,90707
2025-11-24 17:20:00+00:00,275.01,275.195,275.01,275.189,49940
2025-11-24 17:21:00+00:00,275.18,275.21,275.06,275.07,40462
2025-11-24 17:22:00+00:00,275.067,275.19,275.06,275.15,43558
2025-11-24 17:23:00+00:00,275.14,275.14,275.02,275.0677,40634
2025-11-24 17:24:00+00:00,275.07,275.1,275.04,275.07,34225
2025-11-24 17:25:00+00:00,275.07,275.07,274.97,275.02,44299
2025-11-24 17:26:00+00:00,275.05,275.05,274.935,274.935,48446
2025-11-24 17:27:00+00:00,274.935,274.98,274.87,274.91,39775
2025-11-24 17:28:00+00:00,274.92,274.95,274.85,274.915,38609
2025-11-24 17:29:00+00:00,274.925,274.925,274.81,274.85,51448
2025-11-24 17:30:00+00:00,274.85,274.91,274.75,274.77,180590
2025-11-24 17:31:00+00:00,274.77,274.91,274.77,274.84,57291
2025-11-24 17:32:00+00:00,274.835,274.88,274.81,274.815,52581
2025-11-24 17:33:00+00:00,274.815,274.875,274.77,274.825,42332
2025-11-24 17:34:00+00:00,274.825,274.825,274.75,274.77,55291
2025-11-24 17:35:00+00:00,274.78,274.965,274.74,274.96,187583
2025-11-24 17:36:00+00:00,274.98,275.04,274.93,275.02,67512
2025-11-24 17:37:00+00:00,275.02,275.05,274.9,274.9378,44505
2025-11-24 17:38:00+00:00,274.93,275.02,274.885,274.91,42581
2025-11-24 17:39:00+00:00,274.905,275.05,274.8148,275.01,64536
2025-11-24 17:40:00+00:00,275.02,275.14,274.95,275.0201,100318
2025-11-24 17:41:00+00:00,275.01,275.0231,274.87,274.88,53225
2025-11-24 17:42:00+00:00,274.89,274.99,274.82,274.9749,42368
2025-11-24 17:43:00+00:00,274.97,275.02,274.94,274.945,57056
2025-11-24 17:44:00+00:00,274.94,275.05,274.93,275.0,52940
2025-11-24 17:45:00+00:00,274.995,275.0655,274.93,275.015,48690
2025-11-24 17:46:00+00:00,275.01,275.095,274.96,275.01,54456
2025-11-24 17:47:00+00:00,275.005,275.02,274.96,274.9948,48923
2025-11-24 17:48:00+00:00,275.0,275.07,275.0,275.02,46180
2025-11-24 17:49:00+00:00,275.02,275.03,274.94,274.9918,91043
2025-11-24 17:50:00+00:00,274.95,275.02,274.95,274.99,55179
2025-11-24 17:51:00+00:00,274.99,274.99,274.91,274.98,46376
2025-11-24 17:52:00+00:00,274.97,275.06,274.945,274.98,45772
2025-11-24 17:53:00+00:00,274.975,275.16,274.97,275.095,106075
2025-11-24 17:54:00+00:00,275.095,275.21,275.07,275.16,81978
2025-11-24 17:55:00+00:00,275.16,275.233,275.1183,275.17,58594
2025-11-24 17:56:00+00:00,275.17,275.35,275.17,275.28,164772
2025-11-24 17:57:00+00:00,275.295,275.3,275.12,275.125,57510
2025-11-24 17:58:00+00:00,275.1301,275.27,275.13,275.22,65363
2025-11-24 17:59:00+00:00,275.225,275.26,275.15,275.2,58936
2025-11-24 18:00:00+00:00,275.2051,275.27,275.16,275.18,76704
2025-11-24 18:01:00+00:00,275.1735,275.349,275.15,275.32,65627
2025-11-24 18:02:00+00:00,275.3,275.325,275.16,275.21,61656
2025-11-24 18:03:00+00:00,275.2147,275.365,275.2147,275.3,49311
2025-11-24 18:04:00+00:00,275.3,275.4,275.29,275.3695,70720
2025-11-24 18:05:00+00:00,275.37,275.615,275.37,275.585,236919
