Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2025-11-12 01:30:00+00:00,103105.625,103105.625,103105.625,103105.625,0
2025-11-12 01:31:00+00:00,103144.875,103144.875,103144.875,103144.875,809582592
2025-11-12 01:32:00+00:00,103154.625,103154.625,103154.625,103154.625,0
2025-11-12 01:33:00+00:00,103119.7578125,103119.7578125,103119.7578125,103119.7578125,52609024
2025-11-12 01:34:00+00:00,103128.1015625,103128.1015625,103128.1015625,103128.1015625,0
2025-11-12 01:35:00+00:00,103157.9375,103157.9375,103157.9375,103157.9375,658767872
2025-11-12 01:36:00+00:00,103210.6171875,103210.6171875,103210.6171875,103210.6171875,14196736
2025-11-12 01:37:00+00:00,103240.8515625,103240.8515625,103240.8515625,103240.8515625,0
2025-11-12 01:38:00+00:00,103163.5546875,103163.5546875,103163.5546875,103163.5546875,8445952
2025-11-12 01:40:00+00:00,103202.625,103202.625,103202.625,103202.625,0
2025-11-12 01:41:00+00:00,103188.59375,103188.59375,103188.59375,103188.59375,0
2025-11-12 01:42:00+00:00,103224.0,103224.0,103224.0,103224.0,248614912
2025-11-12 01:43:00+00:00,103208.671875,103208.671875,103208.671875,103208.671875,0
2025-11-12 01:44:00+00:00,103205.2109375,103205.2109375,103205.2109375,103205.2109375,0
2025-11-12 01:45:00+00:00,103163.1328125,103163.1328125,103163.1328125,103163.1328125,126124032
2025-11-12 01:46:00+00:00,103147.5546875,103147.5546875,103147.5546875,103147.5546875,0
2025-11-12 01:47:00+00:00,103145.75,103145.75,103145.75,103145.75,1425408
2025-11-12 01:48:00+00:00,103197.984375,103197.984375,103197.984375,103197.984375,0
2025-11-12 01:49:00+00:00,103228.8203125,103228.8203125,103228.8203125,103228.8203125,0
2025-11-12 01:50:00+00:00,103253.578125,103253.578125,103253.578125,103253.578125,79847424
2025-11-12 01:51:00+00:00,103226.015625,103226.015625,103226.015625,103226.015625,0
2025-11-12 01:52:00+00:00,103231.03125,103231.03125,103231.03125,103231.03125,1683456
2025-11-12 01:53:00+00:00,103263.6015625,103263.6015625,103263.6015625,103263.6015625,13230080
2025-11-12 01:54:00+00:00,103277.2890625,103277.2890625,103277.2890625,103277.2890625,0
2025-11-12 01:55:00+00:00,103304.5234375,103304.5234375,103304.5234375,103304.5234375,86859776
2025-11-12 01:56:00+00:00,103303.9765625,103303.9765625,103303.9765625,103303.9765625,0
2025-11-12 01:57:00+00:00,103280.515625,103280.515625,103280.515625,103280.515625,0
2025-11-12 01:58:00+00:00,103274.3203125,103274.3203125,103274.3203125,103274.3203125,25985024
2025-11-12 01:59:00+00:00,103197.296875,103197.296875,103197.296875,103197.296875,0
2025-11-12 02:00:00+00:00,103216.2265625,103216.2265625,103216.2265625,103216.2265625,0
2025-11-12 02:01:00+00:00,103280.7265625,103280.7265625,103280.7265625,103280.7265625,0
2025-11-12 02:02:00+00:00,103281.5625,103281.5625,103281.5625,103281.5625,0
2025-11-12 02:03:00+00:00,103281.5625,103281.5625,103281.5625,103281.5625,0
2025-11-12 02:04:00+00:00,103250.3984375,103250.3984375,103250.3984375,103250.3984375,15990784
2025-11-12 02:05:00+00:00,103178.640625,103178.640625,103178.640625,103178.640625,0
